Title,Date,Type,Country,Report No,PDF Link
Burkina Faso - Solar Energy and Access Project,2021-05-21T04:00:00Z,Project Appraisal Document,Burkina Faso,PAD3364,http://documents.worldbank.org/curated/en/988101624586517351/pdf/Burkina-Faso-Solar-Energy-and-Access-Project.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-03-01T05:00:00Z,Procurement Plan,Pakistan,STEP45794,http://documents.worldbank.org/curated/en/594691614617545236/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-09-27T04:00:00Z,Procurement Plan,Pakistan,STEP54823,http://documents.worldbank.org/curated/en/940691632729390982/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-10-26T04:00:00Z,Procurement Plan,Pakistan,STEP56129,http://documents.worldbank.org/curated/en/946181635232682694/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-06-09T04:00:00Z,Procurement Plan,Pakistan,STEP50305,http://documents.worldbank.org/curated/en/889281623266804625/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-09-07T04:00:00Z,Procurement Plan,Pakistan,STEP53912,http://documents.worldbank.org/curated/en/881171631003146423/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Comoros - Solar Energy Integration Platform Project,2021-11-10T05:00:00Z,Note on Cancelled Operation,Comoros,NCO5646,http://documents.worldbank.org/curated/en/402891638456551251/pdf/Comoros-Solar-Energy-Integration-Platform-Project.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-11-03T04:00:00Z,Procurement Plan,Pakistan,STEP56534,http://documents.worldbank.org/curated/en/832781635948685312/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
India - SOUTH ASIA - P155007 - Grid-Connected Rooftop Solar Program - Audited Financial Statement,2021-08-05T04:00:00Z,Auditing Document,India,SCA0064701,http://documents.worldbank.org/curated/en/449891635416540096/pdf/India-SOUTH-ASIA-P155007-Grid-Connected-Rooftop-Solar-Program-Audited-Financial-Statement.pdf
Project Information Document - Solar Energy and Access Project - P166785,2021-04-23T04:00:00Z,Project Information Document,Burkina Faso,PIDA26920,http://documents.worldbank.org/curated/en/151011619167138309/pdf/Project-Information-Document-Solar-Energy-and-Access-Project-P166785.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-06-11T04:00:00Z,Procurement Plan,Burundi,STEP50435,http://documents.worldbank.org/curated/en/658021623440225174/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
Tanzania - AFRICA EAST- P161757-  Accelerating Solar Water Pumping via Innovative Financing - Procurement Plan,2021-04-20T04:00:00Z,Procurement Plan,Tanzania,STEP48038,http://documents.worldbank.org/curated/en/662961618906734205/pdf/Tanzania-AFRICA-EAST-P161757-Accelerating-Solar-Water-Pumping-via-Innovative-Financing-Procurement-Plan.pdf
Disclosable Version of the ISR - Grid-Connected Rooftop Solar Program - P155007 - Sequence No : 11,2021-10-08T04:00:00Z,Implementation Status and Results Report,India,ISR47593,http://documents.worldbank.org/curated/en/451191633708698124/pdf/Disclosable-Version-of-the-ISR-Grid-Connected-Rooftop-Solar-Program-P155007-Sequence-No-11.pdf
Tajikistan - EUROPE AND CENTRAL ASIA- P176602- Sughd Private Solar Power Project - Procurement Plan,2021-11-03T04:00:00Z,Procurement Plan,Tajikistan,STEP56544,http://documents.worldbank.org/curated/en/322441635957643670/pdf/Tajikistan-EUROPE-AND-CENTRAL-ASIA-P176602-Sughd-Private-Solar-Power-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Sindh Solar Energy Project - P159712 - Sequence No : 07,2021-06-08T04:00:00Z,Implementation Status and Results Report,Pakistan,ISR46843,http://documents.worldbank.org/curated/en/904151623131312415/pdf/Disclosable-Version-of-the-ISR-Sindh-Solar-Energy-Project-P159712-Sequence-No-07.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-01-10T05:00:00Z,Procurement Plan,Burundi,STEP43360,http://documents.worldbank.org/curated/en/181781610284285241/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-06-30T04:00:00Z,Procurement Plan,Burundi,STEP51373,http://documents.worldbank.org/curated/en/196921625069798111/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-11-10T05:00:00Z,Procurement Plan,Burundi,STEP56841,http://documents.worldbank.org/curated/en/417881636583615574/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
Comoros - AFRICA EAST- P162783- Comoros Solar Energy Integration Platform - Procurement Plan,2021-04-19T04:00:00Z,Procurement Plan,Comoros,STEP47986,http://documents.worldbank.org/curated/en/326541618836115988/pdf/Comoros-AFRICA-EAST-P162783-Comoros-Solar-Energy-Integration-Platform-Procurement-Plan.pdf
Comoros - AFRICA EAST- P162783- Comoros Solar Energy Integration Platform - Procurement Plan,2021-05-06T04:00:00Z,Procurement Plan,Comoros,STEP48828,http://documents.worldbank.org/curated/en/745811620308409618/pdf/Comoros-AFRICA-EAST-P162783-Comoros-Solar-Energy-Integration-Platform-Procurement-Plan.pdf
Comoros - AFRICA EAST- P162783- Comoros Solar Energy Integration Platform - Procurement Plan,2021-04-01T04:00:00Z,Procurement Plan,Comoros,STEP47279,http://documents.worldbank.org/curated/en/295111617277043848/pdf/Comoros-AFRICA-EAST-P162783-Comoros-Solar-Energy-Integration-Platform-Procurement-Plan.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-07-28T04:00:00Z,Procurement Plan,Burundi,STEP52292,http://documents.worldbank.org/curated/en/833671627484680005/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-11-19T05:00:00Z,Procurement Plan,Burundi,STEP57154,http://documents.worldbank.org/curated/en/304361637308198944/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 15 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for RUMSL’s 1500 MW Solar Park Project and Associated Infrastructure Across Neemuch, Agar, and Shajapur : Part Five",2021-05-11T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/837661631596588632/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-RUMSL-s-1500-MW-Solar-Park-Project-and-Associated-Infrastructure-Across-Neemuch-Agar-and-Shajapur-Part-Five.pdf
Uzbekistan - Scaling Solar Independent Power Producers (IPPs) Project,2021-05-27T04:00:00Z,Integrated Safeguards Data Sheet,Uzbekistan,159586,http://documents.worldbank.org/curated/en/801241622165840032/pdf/Uzbekistan-Scaling-Solar-Independent-Power-Producers-IPPs-Project.pdf
Disclosable Version of the ISR - Morocco: Noor Solar Power Project - P131256 - Sequence No : 12,2021-05-25T04:00:00Z,Implementation Status and Results Report,Morocco,ISR46494,http://documents.worldbank.org/curated/en/670581621928884677/pdf/Disclosable-Version-of-the-ISR-Morocco-Noor-Solar-Power-Project-P131256-Sequence-No-12.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 11 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for RUMSL’s 1500 MW Solar Park Project and Associated Infrastructure Across Neemuch, Agar, and Shajapur : Part One",2021-05-11T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/903841631595720915/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-RUMSL-s-1500-MW-Solar-Park-Project-and-Associated-Infrastructure-Across-Neemuch-Agar-and-Shajapur-Part-One.pdf
Uzbekistan - Scaling Solar Independent Power Producers (IPPs) Project,2021-05-27T04:00:00Z,Project Information Document,Uzbekistan,159585,http://documents.worldbank.org/curated/en/299291622165597510/pdf/Uzbekistan-Scaling-Solar-Independent-Power-Producers-IPPs-Project.pdf
Vietnam - EAST ASIA AND PACIFIC- P172974- Vietnam Solar Transition Accelerator (VISTA) - Procurement Plan,2021-01-04T05:00:00Z,Procurement Plan,Viet Nam,STEP43168,http://documents.worldbank.org/curated/en/985531609751377249/pdf/Vietnam-EAST-ASIA-AND-PACIFIC-P172974-Vietnam-Solar-Transition-Accelerator-VISTA-Procurement-Plan.pdf
India - SOUTH ASIA- P154283- Shared Infrastructure for Solar Parks Project - Procurement Plan,2021-03-10T05:00:00Z,Procurement Plan,India,STEP46200,http://documents.worldbank.org/curated/en/547311615353945709/pdf/India-SOUTH-ASIA-P154283-Shared-Infrastructure-for-Solar-Parks-Project-Procurement-Plan.pdf
India - SOUTH ASIA- P154283- Shared Infrastructure for Solar Parks Project - Procurement Plan,2021-02-01T05:00:00Z,Procurement Plan,India,STEP44356,http://documents.worldbank.org/curated/en/426581612160496785/pdf/India-SOUTH-ASIA-P154283-Shared-Infrastructure-for-Solar-Parks-Project-Procurement-Plan.pdf
India - SOUTH ASIA- P154283- Shared Infrastructure for Solar Parks Project - Procurement Plan,2021-03-26T04:00:00Z,Procurement Plan,India,STEP47008,http://documents.worldbank.org/curated/en/928691616757718610/pdf/India-SOUTH-ASIA-P154283-Shared-Infrastructure-for-Solar-Parks-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Comoros Solar Energy Integration Platform - P162783 - Sequence No : 02,2021-04-01T04:00:00Z,Implementation Status and Results Report,Comoros,ISR46029,http://documents.worldbank.org/curated/en/399241617292331532/pdf/Disclosable-Version-of-the-ISR-Comoros-Solar-Energy-Integration-Platform-P162783-Sequence-No-02.pdf
Disclosable Version of the ISR - Solar Energy and Access Project - P166785 - Sequence No : 01,2021-11-09T05:00:00Z,Implementation Status and Results Report,Burkina Faso,ISR48033,http://documents.worldbank.org/curated/en/956541636471334007/pdf/Disclosable-Version-of-the-ISR-Solar-Energy-and-Access-Project-P166785-Sequence-No-01.pdf
Guinea-Bissau - AFRICA WEST- P174576- Guinea-Bissau: Solar Energy Scale-up and Access Project - Procurement Plan,2021-10-20T04:00:00Z,Procurement Plan,Guinea-Bissau,STEP55893,http://documents.worldbank.org/curated/en/412671634730540948/pdf/Guinea-Bissau-AFRICA-WEST-P174576-Guinea-Bissau-Solar-Energy-Scale-up-and-Access-Project-Procurement-Plan.pdf
Guinea-Bissau - AFRICA WEST- P174576- Guinea-Bissau: Solar Energy Scale-up and Access Project - Procurement Plan,2021-10-28T04:00:00Z,Procurement Plan,Guinea-Bissau,STEP56273,http://documents.worldbank.org/curated/en/159011635422733637/pdf/Guinea-Bissau-AFRICA-WEST-P174576-Guinea-Bissau-Solar-Energy-Scale-up-and-Access-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Shared Infrastructure for Solar Parks Project - P154283 - Sequence No : 09,2021-10-04T04:00:00Z,Implementation Status and Results Report,India,ISR48025,http://documents.worldbank.org/curated/en/806321633328825401/pdf/Disclosable-Version-of-the-ISR-Shared-Infrastructure-for-Solar-Parks-Project-P154283-Sequence-No-09.pdf
Niger - AFRICA WEST- P160170- Niger Solar Electricity Access Project (NESAP) - Procurement Plan,2021-05-03T04:00:00Z,Procurement Plan,Niger,STEP48626,http://documents.worldbank.org/curated/en/481871620043998889/pdf/Niger-AFRICA-WEST-P160170-Niger-Solar-Electricity-Access-Project-NESAP-Procurement-Plan.pdf
Nepal - SOUTH ASIA- P146344- Nepal: Grid Solar and Energy Efficiency - Procurement Plan,2021-01-28T05:00:00Z,Procurement Plan,Nepal,STEP44208,http://documents.worldbank.org/curated/en/207601611805554438/pdf/Nepal-SOUTH-ASIA-P146344-Nepal-Grid-Solar-and-Energy-Efficiency-Procurement-Plan.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 17 of 17) : Addendum to Resettlement Action Plan and Livelihood Restoration Plan for RUMSL’s 1500 MW Solar Park Project and Associated Infrastructure Across Neemuch, Agar, and Shajapur",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/426591631794195898/pdf/Addendum-to-Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-RUMSL-s-1500-MW-Solar-Park-Project-and-Associated-Infrastructure-Across-Neemuch-Agar-and-Shajapur.pdf
Disclosable Version of the ISR - Comoros Solar Energy Integration Platform - P162783 - Sequence No : 03,2021-10-05T04:00:00Z,Implementation Status and Results Report,Comoros,ISR48292,http://documents.worldbank.org/curated/en/515651633418743208/pdf/Disclosable-Version-of-the-ISR-Comoros-Solar-Energy-Integration-Platform-P162783-Sequence-No-03.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 12 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for RUMSL’s 1500 MW Solar Park Project and Associated Infrastructure Across Neemuch, Agar, and Shajapur : Part Two",2021-05-11T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/935201631595939282/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-RUMSL-s-1500-MW-Solar-Park-Project-and-Associated-Infrastructure-Across-Neemuch-Agar-and-Shajapur-Part-Two.pdf
Niger - AFRICA WEST- P160170- Niger Solar Electricity Access Project (NESAP) - Procurement Plan,2021-09-20T04:00:00Z,Procurement Plan,Niger,STEP54471,http://documents.worldbank.org/curated/en/781141632126531332/pdf/Niger-AFRICA-WEST-P160170-Niger-Solar-Electricity-Access-Project-NESAP-Procurement-Plan.pdf
Niger - AFRICA WEST- P160170- Niger Solar Electricity Access Project (NESAP) - Procurement Plan,2021-11-02T04:00:00Z,Procurement Plan,Niger,STEP56483,http://documents.worldbank.org/curated/en/790421635890862085/pdf/Niger-AFRICA-WEST-P160170-Niger-Solar-Electricity-Access-Project-NESAP-Procurement-Plan.pdf
Niger - AFRICA WEST- P160170- Niger Solar Electricity Access Project (NESAP) - Procurement Plan,2021-02-18T05:00:00Z,Procurement Plan,Niger,STEP45274,http://documents.worldbank.org/curated/en/820011613667548503/pdf/Niger-AFRICA-WEST-P160170-Niger-Solar-Electricity-Access-Project-NESAP-Procurement-Plan.pdf
Nepal - SOUTH ASIA- P146344- Nepal: Grid Solar and Energy Efficiency - Procurement Plan,2021-01-30T05:00:00Z,Procurement Plan,Nepal,STEP44327,http://documents.worldbank.org/curated/en/837101612008688006/pdf/Nepal-SOUTH-ASIA-P146344-Nepal-Grid-Solar-and-Energy-Efficiency-Procurement-Plan.pdf
India - SOUTH ASIA - P154283 - Shared Infrastructure for Solar Parks Project - Audited Financial Statement,2021-01-12T05:00:00Z,Auditing Document,India,SA00991704,http://documents.worldbank.org/curated/en/654981618229862376/pdf/India-SOUTH-ASIA-P154283-Shared-Infrastructure-for-Solar-Parks-Project-Audited-Financial-Statement.pdf
Appraisal Environmental and Social Review Summary (ESRS) - Solar Energy and Access Project - P166785,2021-04-19T04:00:00Z,Environmental and Social Review Summary,Burkina Faso,ESRSA00037,http://documents.worldbank.org/curated/en/974081618836253919/pdf/Appraisal-Environmental-and-Social-Review-Summary-ESRS-Solar-Energy-and-Access-Project-P166785.pdf
Disclosable Version of the ISR - Niger Solar Electricity Access Project (NESAP) - P160170 - Sequence No : 09,2021-10-26T04:00:00Z,Implementation Status and Results Report,Niger,ISR48342,http://documents.worldbank.org/curated/en/218571635215787621/pdf/Disclosable-Version-of-the-ISR-Niger-Solar-Electricity-Access-Project-NESAP-P160170-Sequence-No-09.pdf
Disclosable Restructuring Paper - Grid-Connected Rooftop Solar Program - P155007,2021-11-17T05:00:00Z,Project Paper,India,RES46401,http://documents.worldbank.org/curated/en/457201637123419281/pdf/Disclosable-Restructuring-Paper-Grid-Connected-Rooftop-Solar-Program-P155007.pdf
Nepal - SOUTH ASIA- P146344- Nepal: Grid Solar and Energy Efficiency - Procurement Plan,2021-07-16T04:00:00Z,Procurement Plan,Nepal,STEP51813,http://documents.worldbank.org/curated/en/334401626416602983/pdf/Nepal-SOUTH-ASIA-P146344-Nepal-Grid-Solar-and-Energy-Efficiency-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-05-24T04:00:00Z,Procurement Plan,Pakistan,STEP49480,http://documents.worldbank.org/curated/en/395841624646721360/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Disclosable Version of the ISR - Niger Solar Electricity Access Project (NESAP) - P160170 - Sequence No : 08,2021-04-12T04:00:00Z,Implementation Status and Results Report,Niger,ISR46090,http://documents.worldbank.org/curated/en/658541618233527880/pdf/Disclosable-Version-of-the-ISR-Niger-Solar-Electricity-Access-Project-NESAP-P160170-Sequence-No-08.pdf
Disclosable Version of the ISR - Nepal: Grid Solar and Energy Efficiency - P146344 - Sequence No : 12,2021-05-24T04:00:00Z,Implementation Status and Results Report,Nepal,ISR46403,http://documents.worldbank.org/curated/en/140221621883446335/pdf/Disclosable-Version-of-the-ISR-Nepal-Grid-Solar-and-Energy-Efficiency-P146344-Sequence-No-12.pdf
Disclosable Version of the ISR - Innovation in Solar Power and Hybrid Technologies - P160379 - Sequence No : 05,2021-09-28T04:00:00Z,Implementation Status and Results Report,India,ISR48407,http://documents.worldbank.org/curated/en/143611632824091529/pdf/Disclosable-Version-of-the-ISR-Innovation-in-Solar-Power-and-Hybrid-Technologies-P160379-Sequence-No-05.pdf
India - SOUTH ASIA- P160379- Innovation in Solar Power and Hybrid Technologies - Procurement Plan,2021-01-18T05:00:00Z,Procurement Plan,India,STEP43709,http://documents.worldbank.org/curated/en/951081610977472415/pdf/India-SOUTH-ASIA-P160379-Innovation-in-Solar-Power-and-Hybrid-Technologies-Procurement-Plan.pdf
Kenya - AFRICA EAST- P160009- Kenya: Off-grid Solar Access Project for Underserved Counties - Procurement Plan,2021-09-14T04:00:00Z,Procurement Plan,Kenya,STEP54204,http://documents.worldbank.org/curated/en/231411631605989744/pdf/Kenya-AFRICA-EAST-P160009-Kenya-Off-grid-Solar-Access-Project-for-Underserved-Counties-Procurement-Plan.pdf
Disclosable Version of the ISR - Innovation in Solar Power and Hybrid Technologies - P160379 - Sequence No : 04,2021-03-16T04:00:00Z,Implementation Status and Results Report,India,ISR45152,http://documents.worldbank.org/curated/en/294921615880235784/pdf/Disclosable-Version-of-the-ISR-Innovation-in-Solar-Power-and-Hybrid-Technologies-P160379-Sequence-No-04.pdf
Morocco - MIDDLE EAST AND NORTH AFRICA - P131256 - Morocco: Noor Solar Power Project - Audited Financial Statement,2021-09-02T04:00:00Z,Auditing Document,Morocco,SCA0054352,http://documents.worldbank.org/curated/en/504171631183639839/pdf/Morocco-MIDDLE-EAST-AND-NORTH-AFRICA-P131256-Morocco-Noor-Solar-Power-Project-Audited-Financial-Statement.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 1 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Neemuch Solar Park (Units 1, 2, and 3) : Part One",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/921351629794312241/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Neemuch-Solar-Park-Units-1-2-and-3-Part-One.pdf
Concept Project Information Document (PID) - Guinea-Bissau: Solar Energy Scale-up and Access Project - P174576,2021-06-03T04:00:00Z,Project Information Document,Guinea-Bissau,PIDC31957,http://documents.worldbank.org/curated/en/629941622730511131/pdf/Concept-Project-Information-Document-PID-Guinea-Bissau-Solar-Energy-Scale-up-and-Access-Project-P174576.pdf
India - Shared Infrastructure for Solar Parks Project : Environmental Assessment (Vol. 11 of 19) : Environmental and Social Impact Assessment for Agar and Shajapur Transmission Line : Part Four,2021-05-08T04:00:00Z,Environmental Assessment,India,SFG2561,http://documents.worldbank.org/curated/en/881141629786546911/pdf/Environmental-and-Social-Impact-Assessment-for-Agar-and-Shajapur-Transmission-Line-Part-Four.pdf
Disclosable Restructuring and (or) Additional Financing Paper -  Accelerating Solar Water Pumping via Innovative Financing - P161757,2021-06-25T04:00:00Z,Project Paper,Tanzania,RES46290,http://documents.worldbank.org/curated/en/726291624653782316/pdf/Disclosable-Restructuring-and-or-Additional-Financing-Paper-Accelerating-Solar-Water-Pumping-via-Innovative-Financing-P161757.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 10 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Shajapur Solar Park (Units 6, 7, and 8) : Part Four",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/759111630317850355/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Shajapur-Solar-Park-Units-6-7-and-8-Part-Four.pdf
A Solar Panel can Change a Life : Behavioral Diagnostics Note - Ethiopia Off-Grid Renewable Energy Program : Ethiopia Solar Home Systems Behavioral Diagnostic Note,2021-02-02T05:00:00Z,ESMAP Paper,World,156916,http://documents.worldbank.org/curated/en/832801614065569961/pdf/Ethiopia-Solar-Home-Systems-Behavioral-Diagnostic-Note.pdf
Disclosable Version of the ISR - Vietnam Solar Transition Accelerator (VISTA) - P172974 - Sequence No : 01,2021-01-14T05:00:00Z,Implementation Status and Results Report,Viet Nam,ISR44529,http://documents.worldbank.org/curated/en/414911610606371787/pdf/Disclosable-Version-of-the-ISR-Vietnam-Solar-Transition-Accelerator-VISTA-P172974-Sequence-No-01.pdf
Benin - AFRICA WEST - P162580 - Solar Development in Sub-Saharan Africa - Phase 1 (Sahel) - Audited Financial Statement,2021-06-29T04:00:00Z,Auditing Document,Africa,SCA0058286,http://documents.worldbank.org/curated/en/741231626301888115/pdf/Benin-AFRICA-WEST-P162580-Solar-Development-in-Sub-Saharan-Africa-Phase-1-Sahel-Audited-Financial-Statement.pdf
India - Shared Infrastructure for Solar Parks Project : Environmental Assessment (Vol. 12 of 19) : Environmental and Social Impact Assessment for Agar and Shajapur Transmission Line : Part Five,2021-05-08T04:00:00Z,Environmental Assessment,India,SFG2561,http://documents.worldbank.org/curated/en/920231629786901175/pdf/Environmental-and-Social-Impact-Assessment-for-Agar-and-Shajapur-Transmission-Line-Part-Five.pdf
Morocco - MIDDLE EAST AND NORTH AFRICA - P131256 - Morocco: Noor Solar Power Project - Audited Financial Statement,2021-09-02T04:00:00Z,Auditing Document,Morocco,SCA0050673,http://documents.worldbank.org/curated/en/836601631183449444/pdf/Morocco-MIDDLE-EAST-AND-NORTH-AFRICA-P131256-Morocco-Noor-Solar-Power-Project-Audited-Financial-Statement.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 3 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Neemuch Solar Park (Units 1, 2, and 3) : Part Three",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/819591629795130047/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Neemuch-Solar-Park-Units-1-2-and-3-Part-Three.pdf
Concept Environmental and Social Review Summary (ESRS) - Guinea-Bissau: Solar Energy Scale-up and Access Project - P174576,2021-11-17T05:00:00Z,Environmental and Social Review Summary,Guinea-Bissau,ESRSC02369,http://documents.worldbank.org/curated/en/390561637177887015/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Guinea-Bissau-Solar-Energy-Scale-up-and-Access-Project-P174576.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 9 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Shajapur Solar Park (Units 6, 7, and 8) : Part Three",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/824441630317588534/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Shajapur-Solar-Park-Units-6-7-and-8-Part-Three.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 8 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Shajapur Solar Park (Units 6, 7, and 8) : Part Two",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/459791630317354548/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Shajapur-Solar-Park-Units-6-7-and-8-Part-Two.pdf
India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 5 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Agar Solar Park (Units 4 and 5) : Part Two,2021-03-22T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/491101630316186947/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Agar-Solar-Park-Units-4-and-5-Part-Two.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 14 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for RUMSL’s 1500 MW Solar Park Project and Associated Infrastructure Across Neemuch, Agar, and Shajapur : Part Four",2021-05-11T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/407151631596327966/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-RUMSL-s-1500-MW-Solar-Park-Project-and-Associated-Infrastructure-Across-Neemuch-Agar-and-Shajapur-Part-Four.pdf
India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 6 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Agar Solar Park (Units 4 and 5) : Part Three,2021-03-22T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/657281630316404906/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Agar-Solar-Park-Units-4-and-5-Part-Three.pdf
India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 4 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Agar Solar Park (Units 4 and 5) : Part One,2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/864741630315866830/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Agar-Solar-Park-Units-4-and-5-Part-One.pdf
"India - Shared Infrastructure for Solar Parks Project : Resettlement Plan (Vol. 7 of 17) : Resettlement Action Plan and Livelihood Restoration Plan for Shajapur Solar Park (Units 6, 7, and 8) : Part One",2021-05-03T04:00:00Z,Resettlement Plan,India,SFG6931,http://documents.worldbank.org/curated/en/748721630317139635/pdf/Resettlement-Action-Plan-and-Livelihood-Restoration-Plan-for-Shajapur-Solar-Park-Units-6-7-and-8-Part-One.pdf
