Title,Date,Type,Country,Report No,PDF Link
Pakistan - SOUTH ASIA- P163461- Khyber Pakhtunkhwa Hydropower and Renewable Energy Development - Procurement Plan,2021-06-18T04:00:00Z,Procurement Plan,Pakistan,STEP50761,http://documents.worldbank.org/curated/en/983331624002554386/pdf/Pakistan-SOUTH-ASIA-P163461-Khyber-Pakhtunkhwa-Hydropower-and-Renewable-Energy-Development-Procurement-Plan.pdf
"Official Documents- Disbursement and Financial Information Letter for Credit 6897-TZ, CTF Loan TF0B5747 and CTF Grant TF0B5660",2021-08-19T04:00:00Z,Disbursement Letter,Tanzania,,http://documents.worldbank.org/curated/en/581871629465257061/pdf/Official-Documents-Disbursement-and-Financial-Information-Letter-for-Credit-6897-TZ-CTF-Loan-TF0B5747-and-CTF-Grant-TF0B5660.pdf
Disclosable Restructuring Paper - Rural Electrification and Renewable Energy Development II (RERED II) Project - P131263,2021-05-21T04:00:00Z,Project Paper,Bangladesh,RES45345,http://documents.worldbank.org/curated/en/292411621618322261/pdf/Disclosable-Restructuring-Paper-Rural-Electrification-and-Renewable-Energy-Development-II-RERED-II-Project-P131263.pdf
Pakistan - SOUTH ASIA- P163461- Khyber Pakhtunkhwa Hydropower and Renewable Energy Development - Procurement Plan,2021-07-23T04:00:00Z,Procurement Plan,Pakistan,STEP52042,http://documents.worldbank.org/curated/en/432411627025332611/pdf/Pakistan-SOUTH-ASIA-P163461-Khyber-Pakhtunkhwa-Hydropower-and-Renewable-Energy-Development-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P163461- Khyber Pakhtunkhwa Hydropower and Renewable Energy Development - Procurement Plan,2021-01-14T05:00:00Z,Procurement Plan,Pakistan,STEP43577,http://documents.worldbank.org/curated/en/708571610608168171/pdf/Pakistan-SOUTH-ASIA-P163461-Khyber-Pakhtunkhwa-Hydropower-and-Renewable-Energy-Development-Procurement-Plan.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-07-12T04:00:00Z,Procurement Plan,Rwanda,STEP51567,http://documents.worldbank.org/curated/en/130331626096377056/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-04-29T04:00:00Z,Procurement Plan,Rwanda,STEP48509,http://documents.worldbank.org/curated/en/954021619683674850/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-08-23T04:00:00Z,Procurement Plan,Rwanda,STEP53310,http://documents.worldbank.org/curated/en/400231629738666405/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Concept Environmental and Social Review Summary (ESRS) - Sudan Energy Transition and Access Project - P176711,2021-09-16T04:00:00Z,Environmental and Social Review Summary,Sudan,ESRSC02292,http://documents.worldbank.org/curated/en/454891631831660446/pdf/Concept-Environmental-and-Social-Review-Summary-ESRS-Sudan-Energy-Transition-and-Access-Project-P176711.pdf
Project Information Document - Somali Electricity Sector Recovery Project - P173088,2021-10-12T04:00:00Z,Project Information Document,Somalia,PIDA30693,http://documents.worldbank.org/curated/en/917771634027301072/pdf/Project-Information-Document-Somali-Electricity-Sector-Recovery-Project-P173088.pdf
China - Jiangxi Wuxikou Integrated Flood Management Project,2021-01-26T05:00:00Z,Implementation Completion and Results Report,China,ICR5373,http://documents.worldbank.org/curated/en/883571612465013589/pdf/China-Jiangxi-Wuxikou-Integrated-Flood-Management-Project.pdf
Concept Project Information Document (PID) - Niger Accelerating Electricity Access Project (Hask?) - P174034,2021-04-01T04:00:00Z,Project Information Document,Niger,PIDC30143,http://documents.worldbank.org/curated/en/143671617291661812/pdf/Concept-Project-Information-Document-PID-Niger-Accelerating-Electricity-Access-Project-Hask-P174034.pdf
"Micronesia, Federated States of - EAST ASIA AND PACIFIC- P165183- SUSTAINABLE ENERGY DEVELOPMENT AND ACCESS PROJECT - Procurement Plan",2021-11-11T05:00:00Z,Procurement Plan,"Micronesia, Federated States of",STEP56882,http://documents.worldbank.org/curated/en/406051636646128006/pdf/Micronesia-Federated-States-of-EAST-ASIA-AND-PACIFIC-P165183-SUSTAINABLE-ENERGY-DEVELOPMENT-AND-ACCESS-PROJECT-Procurement-Plan.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-06-24T04:00:00Z,Procurement Plan,Rwanda,STEP51029,http://documents.worldbank.org/curated/en/159031624534070633/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Rwanda - AFRICA EAST- P172594- Rwanda - Energy Access and Quality Improvement Project - Procurement Plan,2021-08-04T04:00:00Z,Procurement Plan,Rwanda,STEP52578,http://documents.worldbank.org/curated/en/639761628060969523/pdf/Rwanda-AFRICA-EAST-P172594-Rwanda-Energy-Access-and-Quality-Improvement-Project-Procurement-Plan.pdf
Tanzania - AFRICA EAST- P169561- Zanzibar Energy Sector Transformation and Access Project - Procurement Plan,2021-09-29T04:00:00Z,Procurement Plan,Tanzania,STEP54966,http://documents.worldbank.org/curated/en/732101632921087811/pdf/Tanzania-AFRICA-EAST-P169561-Zanzibar-Energy-Sector-Transformation-and-Access-Project-Procurement-Plan.pdf
